"product_id","name","description"
"1","RENE CELL HICRO Q PREMIUM AMPOULE","The latest version / 1set : 120ml(4.1oz) + 30ml(1.0oz)<br>Phytopolamine-S ingredients help prevent the skin from getting aged and enhance skin resistance against stress.<br>Enhancement of basic skin health and maximization of effects of the following product.<br>Strong de-wrinkling effects that stand up lying skin collagen.<br>Undried hydration keeps the skin moist and prevents the skin from losing moisture"
"2","ERTY AMPOULE 24","Quickly transport moisture to the dermis<br><br>Contains Erty's patented ingredients<br><br>Dry skin is prone to wrinkles<br><br>Restore skin full of moisture<br><br>Maximize moisturizing essence"
"3","ERTY AMPOULE 54","Dull skin, pigmentation<br><br>Pregnant women and breastfeeding mothers can use it at ease, sensitive skin!<br><br>54 ampoules are used to improve skin blemishes and complexion,<br><br>Take care of skin absorption of nutrients and moisture!<br><br>If your skin is very dry, it feels dry even in summer<br><br>Before using 54 Whitening Ampoules, use 24 Moisture Ampoules."
"4","RENE CELL CUSHION","The Calming Shield ingredient protects and soothes overstimulated and reddened skin 24 hours a day.rs a day.<br>The more you tap, the more it adheres so you can cover your spots and fill your skin with moisture while making it more radiant.<br>The natural tone-up effect gives vitality to the skin for healthy and smooth skin.<br>Use it with Placen Blemish Balm BB Cream or Miracle Calming Balm Cream to help make skin healthier."
"5","MEDICUBE","Tested/Sunscreen protection cosmetic (SPF30/PA++)<br>Size : 5.5ml<br>Skin type : For all skin types<br>Expiry date : Marsked separately"
"6","HOLIKA HOLIKA JEWEL LIGHT EYE LINER","Thin, delicate eyeliner creates a defined and bright finish. <br>It has a stable waterproof formula, maintains a clear line throughout the day. <br>Eyeliner creates a shimmering shine to really highlight and define eyes."
"7","PRETTY SKIN EYE LINER","COLOUR : BROWN"
"8","RENE CELL PEPTIDE CREAM","Age Reverse System4, consisting of four steps, boosts the rate of skin regeneration and eliminates the root causes of skin problems.<br>It is quickly absorbed by the skin, without any feelings of stickiness, for a clear, healthy-looking complexion.<br>It contains highly concentrated peptides that enhance skin elasticity and nourish the skin.<br>Skin strengthening, nutrition, concentrated moisturizing, brightening, balance care"
"9","RENE CELL RENEWING CREAM","When your skin exfoliates, let it fall off naturally, <br>and never remove with your hands. <br>(Exfoliation might not occur based on your skin condition and age)"
"10","REJURAN TUROVER CREAM","REJURAN contains the signature component C-PDRN, which is a DNA fragment extracted from deep-sea carp sperm and has a human body similarity of up to 98%.<br>This is a good score for regenerating skin, restoring skin structure and improving skin elasticity. It diminishes fine lines, repairs sensitive muscles, improves pigmentation, and strengthens skin barriers."
"11","ISOV MESO REPAIR CREAM","A cream formulated with mesotherapy active ingredients for <br>an effective skin recovery after aesthetic procedures. <br>The cream contains growth factors and peptides to help define the <br>contours of the face and give it a more youthful and firm appearance. <br>It has strong repairing properties thanks to the repair complex based on amino acids and ATP."
"12","DR PEPTIDE 88 CREAM EX","Korea DR.PEPTI+ ☆ Peptide Gold Firming Cream 88g+ Free Mini 12g (1+1). Contains high-quality 24K gold extracts, silk, and peptides. You can also experience high-quality gold therapy at home"
"13","ERTY ER CREAM","Intensive Cellular ER Cream Complete Revitalizing Facial Care 45ml"
"14","RENE CELL GIMINUS WHITE PROGRAM","Renecell [Rene-Cell] Giminus White Program Brightener<br>Dark spot care, Melasma care, Anti pigmentation<br>20g×2pcs"
"15","CELLOMON FOOT PEEL SPRAY","It is a spray that can change the rough, dry and broken skin of the <br>foot to a much smoother & softer skin in just 10 seconds, <br>you can also be used on the Knee and Elbow"
